mot_quali;pvalue_quali;mean_quali;occu_mot;mot_defaut;pvalue_defaut;mean_defaut;occu_mot
Assez_protéines;1,80E-13;0,120583245;39;Trop_gras;0,001235185;-0,112987456;4
Assez_légumes;3,65E-12;0,111783829;37;Trop_fruits;0,0074978;-0,063326952;7
Assez_féculents;5,56E-08;0,053468486;27;Trop_sucré;0,009077793;-0,19294794;3
Assez_fruits;0,01317535;0,034630979;37;Pas_assez_légumes;0,144819957;-0,026269594;8
Trop_féculents;0,016850758;0,043387116;17;Pas_assez_diversifié;0,174403665;-0,051761254;2
Coloré;0,053569435;0,097306229;3;Pas_assez_gras;0,216389421;-0,031748389;2
Diversifié;0,127479809;0,031467438;2;Pain_blanc;0,320754926;-0,014295387;4
Pas_assez_produits_laitiers;0,412577424;0,008710101;4;Trop_protéines;0,398506741;-0,0067079;5
Trop_protéines;0,601493259;-0,0067079;5;Pas_assez_produits_laitiers;0,587422576;0,008710101;4
Pain_blanc;0,679245074;-0,014295387;4;Diversifié;0,872520191;0,031467438;2
Pas_assez_gras;0,783610579;-0,031748389;2;Coloré;0,946430565;0,097306229;3
Pas_assez_diversifié;0,825596335;-0,051761254;2;Trop_féculents;0,983149242;0,043387116;17
Pas_assez_légumes;0,855180043;-0,026269594;8;Assez_fruits;0,98682465;0,034630979;37
Trop_sucré;0,990922207;-0,19294794;3;Assez_féculents;0,999999944;0,053468486;27
Trop_fruits;0,9925022;-0,063326952;7;Assez_légumes;1;0,111783829;37
Trop_gras;0,998764815;-0,112987456;4;Assez_protéines;1;0,120583245;39
Trop_friture;NA;-0,046847227;1;Trop_friture;NA;-0,046847227;1
Produits_non_transformés;NA;0,094131523;1;Produits_non_transformés;NA;0,094131523;1
Légumes_crus;NA;-0,012837427;1;Légumes_crus;NA;-0,012837427;1
Produits_transformés;NA;-0,26092181;1;Produits_transformés;NA;-0,26092181;1
Pas_assez_fruits;NA;-0,015603594;1;Pas_assez_fruits;NA;-0,015603594;1
Assez_produits_laitiers;NA;-0,039170786;1;Assez_produits_laitiers;NA;-0,039170786;1
Trop_garni;NA;-0,025731741;1;Trop_garni;NA;-0,025731741;1
Assez_produit_laitiers;NA;0,002148119;1;Assez_produit_laitiers;NA;0,002148119;1
Assez_diversifié;NA;0,002921765;1;Assez_diversifié;NA;0,002921765;1
Assez_consistant;NA;0,010844806;1;Assez_consistant;NA;0,010844806;1
Pas_assez_féculents;NA;-0,14707896;1;Pas_assez_féculents;NA;-0,14707896;1
Pas_assez_protéines;NA;-0,021356218;1;Pas_assez_protéines;NA;-0,021356218;1
Pas_assez_fibres;NA;-0,101278299;1;Pas_assez_fibres;NA;-0,101278299;1
Pas_blanc;NA;0,007026297;1;Pas_blanc;NA;0,007026297;1
Assez_léger;NA;0,005654413;1;Assez_léger;NA;0,005654413;1
Trop_sec;NA;-0,029293212;1;Trop_sec;NA;-0,029293212;1
Mauvais_féculents;NA;-0,010604372;1;Mauvais_féculents;NA;-0,010604372;1
Protéines_animales;NA;0,003631879;1;Protéines_animales;NA;0,003631879;1
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
NA;NA;NA;NA;NA;NA;NA;NA
