id_item;nom_item;Num_zone;Nom_zone;Nom_zone2;x1;w;x2;y1;h;y2
34359006-f70f-438e-85d0-420cf2fe6944;Ukraine;1;feculent/proteine;Saucisse/purée;23;30;53;9;37;46
34359006-f70f-438e-85d0-420cf2fe6944;Ukraine;2;legumes;Bortch;58;25;83;7;37;44
34359006-f70f-438e-85d0-420cf2fe6944;Ukraine;3;feculent;Crepe;19;42;61;45;30;75
34359006-f70f-438e-85d0-420cf2fe6944;Ukraine;4;legumes;Chou ;60;19;79;46;34;80
34359006-f70f-438e-85d0-420cf2fe6944;Ukraine;5;;;0;0;0;0;0;0
34359006-f70f-438e-85d0-420cf2fe6944;Ukraine;6;;;0;0;0;0;0;0
20f3c152-6ebf-49db-8e1a-00eebd99feb6;Finlande;1;feculent/fruits;Crepe/fruits;21;38;59;12;33;45
20f3c152-6ebf-49db-8e1a-00eebd99feb6;Finlande;2;legumes;Soupe;58;25;83;9;36;45
20f3c152-6ebf-49db-8e1a-00eebd99feb6;Finlande;3;legumes;Betterave;21;20;41;45;35;80
20f3c152-6ebf-49db-8e1a-00eebd99feb6;Finlande;4;feculent;Pain;58;21;79;44;35;79
20f3c152-6ebf-49db-8e1a-00eebd99feb6;Finlande;5;legumes;Carottes;41;19;60;47;33;80
20f3c152-6ebf-49db-8e1a-00eebd99feb6;Finlande;6;;;0;0;0;0;0;0
213479f7-39af-4b83-b0e9-4ba473d27429;Espagne;1;fruits;Orange;18;20;38;8;31;39
213479f7-39af-4b83-b0e9-4ba473d27429;Espagne;2;legumes;Poivrons;40;18;58;11;30;41
213479f7-39af-4b83-b0e9-4ba473d27429;Espagne;3;legumes;Gaspacho;57;24;81;8;37;45
213479f7-39af-4b83-b0e9-4ba473d27429;Espagne;4;feculent;Pain;20;22;42;43;36;79
213479f7-39af-4b83-b0e9-4ba473d27429;Espagne;5;feculent/proteine;Crevette riz;42;34;76;43;36;79
213479f7-39af-4b83-b0e9-4ba473d27429;Espagne;6;;;0;0;0;0;0;0
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;France;1;fruits;Kiwis;22;19;41;11;33;44
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;France;2;legumes;Carottes;41;19;60;11;33;44
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;France;3;proteines;Viande;55;23;78;8;41;49
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;France;4;legumes;Haricots;20;23;43;42;20;62
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;France;5;produit laitiers;Fromage;39;17;56;45;33;78
7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a;France;6;fruits;Pommes;54;23;77;45;34;79
cc2a8b56-732c-4e4c-a058-248783b68587;Corée du sud;1;legumes;Brocolis;22;19;41;11;32;43
cc2a8b56-732c-4e4c-a058-248783b68587;Corée du sud;2;;Poivrons;41;18;59;9;32;41
cc2a8b56-732c-4e4c-a058-248783b68587;Corée du sud;3;;Soupe poisson;58;24;82;8;36;44
cc2a8b56-732c-4e4c-a058-248783b68587;Corée du sud;4;;Kimchi;22;22;44;46;34;80
cc2a8b56-732c-4e4c-a058-248783b68587;Corée du sud;5;;Riz/tofu;40;37;77;45;35;80
cc2a8b56-732c-4e4c-a058-248783b68587;Corée du sud;6;;;0;0;0;0;0;0
dd13fcba-0ae1-43d3-9d32-1672ed84f151;USA;1;;Cookie;20;22;42;11;36;47
dd13fcba-0ae1-43d3-9d32-1672ed84f151;USA;2;;Petit pois;41;17;58;14;29;43
dd13fcba-0ae1-43d3-9d32-1672ed84f151;USA;3;;Fruits au sirop;60;20;80;11;30;41
dd13fcba-0ae1-43d3-9d32-1672ed84f151;USA;4;;Purée;21;21;42;46;33;79
dd13fcba-0ae1-43d3-9d32-1672ed84f151;USA;5;;Nuggets;41;36;77;43;37;80
dd13fcba-0ae1-43d3-9d32-1672ed84f151;USA;6;;;0;0;0;0;0;0
6afda059-04a5-4308-b776-a532ed142284;Italie;1;;Raisins;20;20;40;8;39;47
