study_id,item_id,item_filename,item_cdn_url,tester_id,tester_external_id,tester_display_name,tester_tags,tester_quality_grade,tester_quality_grade_item,test_item_display_order,aoi_id,aoi_name,aoi_item_parts,aoi_size_percents,aoi_time_range_from_ms,aoi_time_range_to_ms,aoi_fixation_total_count,aoi_fixation_average_duration_ms,aoi_fixation_ttff_ms,aoi_fixation_average_total_time_spent_ms,aoi_fixation_first_fixation_average_duration_ms,notes
567276aa-03f8-41ca-88f3-016fad3da23d,6bfa3bbf-ff8f-4719-ade6-08308e2edfe8,156.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_567276aa-03f8-41ca-88f3-016fad3da23d/project_lg_6bfa3bbf-ff8f-4719-ade6-08308e2edfe8.jpg,38c90b27-ea8c-4111-a922-4e81390fefab,,"37, Female, 23",,5,5,8,b036d250-48c9-4c53-bf95-dcad7fad6f2d,Bortch,"[{""areaPoints"":{""topLeft"":{""xPx"":974,""yPx"":72},""bottomRight"":{""xPx"":1390,""yPx"":477}},""timeRange"":{""fromMs"":500,""toMs"":30000},""size"":{""overallPercents"":9.183673469387756,""widthPercents"":24.761904761904763,""heightPercents"":37.08791208791209}}]",9.1836734693878,500,30000,2,186,1939,372,170,"RealEye v8.13.14; FixationFilterSettings [gazePointInterpolationHz = 60; gazePointInterpolationMaxGapMs = 50; gazeVelocityThreshold = 180; minFixationDurationMs = 100; noiseReductionLevel = 21]; TestCriteria [;isGenderMale=true;isGenderFemale=true;isGenderOther=true;isGenderUnknown=true;qualityMin=1;qualityMax=6;isTesterTypeRealEye=true;isTesterTypeNonRealEye=true]; 2022-01-13T09:23:47+00:00"
567276aa-03f8-41ca-88f3-016fad3da23d,6bfa3bbf-ff8f-4719-ade6-08308e2edfe8,156.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_567276aa-03f8-41ca-88f3-016fad3da23d/project_lg_6bfa3bbf-ff8f-4719-ade6-08308e2edfe8.jpg,38c90b27-ea8c-4111-a922-4e81390fefab,,"37, Female, 23",,5,5,8,19ec7937-aff0-44f9-adda-cb37cf6c7743,Chou,"[{""areaPoints"":{""topLeft"":{""xPx"":1007,""yPx"":500},""bottomRight"":{""xPx"":1325,""yPx"":869}},""timeRange"":{""fromMs"":500,""toMs"":30000},""size"":{""overallPercents"":6.396193092621664,""widthPercents"":18.928571428571427,""heightPercents"":33.79120879120879}}]",6.3961930926217,500,30000,3,484,1318,1451,478,
567276aa-03f8-41ca-88f3-016fad3da23d,6bfa3bbf-ff8f-4719-ade6-08308e2edfe8,156.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_567276aa-03f8-41ca-88f3-016fad3da23d/project_lg_6bfa3bbf-ff8f-4719-ade6-08308e2edfe8.jpg,38c90b27-ea8c-4111-a922-4e81390fefab,,"37, Female, 23",,5,5,8,f82299a5-15b4-4e1c-b089-6c55f0729f23,Crêpe,"[{""areaPoints"":{""topLeft"":{""xPx"":317,""yPx"":493},""bottomRight"":{""xPx"":1014,""yPx"":817}},""timeRange"":{""fromMs"":500,""toMs"":30000},""size"":{""overallPercents"":12.309654631083202,""widthPercents"":41.48809523809524,""heightPercents"":29.67032967032967}}]",12.309654631083,500,30000,4,156,877,623,129,
567276aa-03f8-41ca-88f3-016fad3da23d,6bfa3bbf-ff8f-4719-ade6-08308e2edfe8,156.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_567276aa-03f8-41ca-88f3-016fad3da23d/project_lg_6bfa3bbf-ff8f-4719-ade6-08308e2edfe8.jpg,38c90b27-ea8c-4111-a922-4e81390fefab,,"37, Female, 23",,5,5,8,c85d9329-66a0-4346-bcdf-3c17c1fb7604,"Purée Saucisses","[{""areaPoints"":{""topLeft"":{""xPx"":381,""yPx"":102},""bottomRight"":{""xPx"":885,""yPx"":510}},""timeRange"":{""fromMs"":500,""toMs"":30000},""size"":{""overallPercents"":11.208791208791208,""widthPercents"":30,""heightPercents"":37.362637362637365}}]",11.208791208791,500,30000,2,311,562,622,125,
567276aa-03f8-41ca-88f3-016fad3da23d,6bfa3bbf-ff8f-4719-ade6-08308e2edfe8,156.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_567276aa-03f8-41ca-88f3-016fad3da23d/project_lg_6bfa3bbf-ff8f-4719-ade6-08308e2edfe8.jpg,4436282c-7d0f-4334-ba8d-80b7cfe2b849,,"30, Female, 21",,5,5,8,b036d250-48c9-4c53-bf95-dcad7fad6f2d,Bortch,"[{""areaPoints"":{""topLeft"":{""xPx"":974,""yPx"":72},""bottomRight"":{""xPx"":1390,""yPx"":477}},""timeRange"":{""fromMs"":500,""toMs"":30000},""size"":{""overallPercents"":9.183673469387756,""widthPercents"":24.761904761904763,""heightPercents"":37.08791208791209}}]",9.1836734693878,500,30000,0,,,,,
567276aa-03f8-41ca-88f3-016fad3da23d,6bfa3bbf-ff8f-4719-ade6-08308e2edfe8,156.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_567276aa-03f8-41ca-88f3-016fad3da23d/project_lg_6bfa3bbf-ff8f-4719-ade6-08308e2edfe8.jpg,4436282c-7d0f-4334-ba8d-80b7cfe2b849,,"30, Female, 21",,5,5,8,19ec7937-aff0-44f9-adda-cb37cf6c7743,Chou,"[{""areaPoints"":{""topLeft"":{""xPx"":1007,""yPx"":500},""bottomRight"":{""xPx"":1325,""yPx"":869}},""timeRange"":{""fromMs"":500,""toMs"":30000},""size"":{""overallPercents"":6.396193092621664,""widthPercents"":18.928571428571427,""heightPercents"":33.79120879120879}}]",6.3961930926217,500,30000,2,249,2709,498,199,
567276aa-03f8-41ca-88f3-016fad3da23d,6bfa3bbf-ff8f-4719-ade6-08308e2edfe8,156.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_567276aa-03f8-41ca-88f3-016fad3da23d/project_lg_6bfa3bbf-ff8f-4719-ade6-08308e2edfe8.jpg,4436282c-7d0f-4334-ba8d-80b7cfe2b849,,"30, Female, 21",,5,5,8,f82299a5-15b4-4e1c-b089-6c55f0729f23,Crêpe,"[{""areaPoints"":{""topLeft"":{""xPx"":317,""yPx"":493},""bottomRight"":{""xPx"":1014,""yPx"":817}},""timeRange"":{""fromMs"":500,""toMs"":30000},""size"":{""overallPercents"":12.309654631083202,""widthPercents"":41.48809523809524,""heightPercents"":29.67032967032967}}]",12.309654631083,500,30000,4,222,571,888,153,
567276aa-03f8-41ca-88f3-016fad3da23d,6bfa3bbf-ff8f-4719-ade6-08308e2edfe8,156.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_567276aa-03f8-41ca-88f3-016fad3da23d/project_lg_6bfa3bbf-ff8f-4719-ade6-08308e2edfe8.jpg,4436282c-7d0f-4334-ba8d-80b7cfe2b849,,"30, Female, 21",,5,5,8,c85d9329-66a0-4346-bcdf-3c17c1fb7604,"Purée Saucisses","[{""areaPoints"":{""topLeft"":{""xPx"":381,""yPx"":102},""bottomRight"":{""xPx"":885,""yPx"":510}},""timeRange"":{""fromMs"":500,""toMs"":30000},""size"":{""overallPercents"":11.208791208791208,""widthPercents"":30,""heightPercents"":37.362637362637365}}]",11.208791208791,500,30000,4,152,571,606,153,
567276aa-03f8-41ca-88f3-016fad3da23d,6bfa3bbf-ff8f-4719-ade6-08308e2edfe8,156.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_567276aa-03f8-41ca-88f3-016fad3da23d/project_lg_6bfa3bbf-ff8f-4719-ade6-08308e2edfe8.jpg,98a2ab99-afcb-447e-ae8d-4b96b374e4d7,,"31, Female, 24",,5,4,5,b036d250-48c9-4c53-bf95-dcad7fad6f2d,Bortch,"[{""areaPoints"":{""topLeft"":{""xPx"":974,""yPx"":72},""bottomRight"":{""xPx"":1390,""yPx"":477}},""timeRange"":{""fromMs"":500,""toMs"":30000},""size"":{""overallPercents"":9.183673469387756,""widthPercents"":24.761904761904763,""heightPercents"":37.08791208791209}}]",9.1836734693878,500,30000,7,270,2938,1889,129,
567276aa-03f8-41ca-88f3-016fad3da23d,6bfa3bbf-ff8f-4719-ade6-08308e2edfe8,156.jpg,https://d48dl6cezsco5.cloudfront.net/experiments/experiment_567276aa-03f8-41ca-88f3-016fad3da23d/project_lg_6bfa3bbf-ff8f-4719-ade6-08308e2edfe8.jpg,98a2ab99-afcb-447e-ae8d-4b96b374e4d7,,"31, Female, 24",,5,4,5,19ec7937-aff0-44f9-adda-cb37cf6c7743,Chou,"[{""areaPoints"":{""topLeft"":{""xPx"":1007,""yPx"":500},""bottomRight"":{""xPx"":1325,""yPx"":869}},""timeRange"":{""fromMs"":500,""toMs"":30000},""size"":{""overallPercents"":6.396193092621664,""widthPercents"":18.928571428571427,""heightPercents"":33.79120879120879}}]",6.3961930926217,500,30000,5,290,1390,1450,388,
