study_id,tester_id,tester_created_at,tester_name,tester_age,tester_gender,tester_display_gender,tester_tags,tester_quality_grade,"D'après vous, le plateau est-il équilibré ?  - 156.jpg","D'après vous, le plateau est-il équilibré ?  - 672.jpg","D'après vous, le plateau est-il équilibré ?  - 756.jpg","D'après vous, le plateau est-il équilibré ?  - 421.jpg","D'après vous, le plateau est-il équilibré ?  - 489.jpg","D'après vous, le plateau est-il équilbré ?  - 327.jpg","D'après vous, le plateau est-il équilibré ? - 238.jpg","D'après vous, le plateau est-il équilibré ? - 352.jpg","D'après vous, le plateau est-il équilibré ?  - 980.jpg",notes
66819f1e-0933-4e2d-9010-d1bf5fb2c21e,915ec45f-204b-411d-8ed7-7fdecb385e39,2022-01-12T17:18:30+00:00,"35, Male, 23",23,1,male,,5,"Il est équilibré","Il est presque équilibré","Il est équilibré","Il n'est pas équilibré","Il est équilibré ","Il n'est pas équilibré","Il est équilibré","Il est presque équilibré","Il n'est pas équilibré","RealEye v8.13.14; 2022-01-13T09:15:13+00:00"
66819f1e-0933-4e2d-9010-d1bf5fb2c21e,e87291fb-8da5-4c7a-af30-4413737f2401,2022-01-12T13:19:39+00:00,"29, Male, 22",22,1,male,,5,"Il est presque équilibré","Il n'est pas équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré ","Il est presque équilibré","Il est équilibré","Il est équilibré","Il est équilibré",
66819f1e-0933-4e2d-9010-d1bf5fb2c21e,03964ff9-d24f-4a0a-a492-3a177e16eb11,2022-01-12T13:19:11+00:00,"28, Female, 22",22,0,female,,5,"Il est presque équilibré","Il est presque équilibré","Il est équilibré","Il n'est pas équilibré","Il est presque équilibré","Il n'est pas équilibré","Il est équilibré","Il est équilibré","Il est équilibré",
66819f1e-0933-4e2d-9010-d1bf5fb2c21e,473d2e90-02dd-483e-ad19-3966ec20050a,2022-01-12T12:52:22+00:00,"27, Female, 23",23,0,female,,5,"Il est presque équilibré","Il est équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré ","Il n'est pas équilibré","Il est équilibré","Il est équilibré","Il est équilibré",
66819f1e-0933-4e2d-9010-d1bf5fb2c21e,4ed0a862-3163-449b-bb48-ca8b9ce3add0,2022-01-12T12:47:50+00:00,"26, Female, 20",20,0,female,,5,"Il est presque équilibré","Il n'est pas équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré ","Il est presque équilibré","Il est équilibré","Il est presque équilibré","Il est presque équilibré",
66819f1e-0933-4e2d-9010-d1bf5fb2c21e,cc933e0b-091f-4ef4-bfc8-11f2076d4396,2022-01-12T12:19:12+00:00,"25, Male, 20",20,1,male,,5,"Il est équilibré","Il n'est pas équilibré","Il est équilibré","Il est équilibré","Il est presque équilibré","Il est presque équilibré","Il est équilibré","Il est équilibré","Il est équilibré",
66819f1e-0933-4e2d-9010-d1bf5fb2c21e,073891b7-a928-4ff0-83e3-56f4d1a6315e,2022-01-12T12:15:02+00:00,"24, Female, 22",22,0,female,,5,"Il est équilibré","Il est presque équilibré","Il est équilibré","Il est équilibré","Il est équilibré ","Il n'est pas équilibré","Il est équilibré","Il est équilibré","Il est équilibré",
66819f1e-0933-4e2d-9010-d1bf5fb2c21e,9577727a-fa45-4185-9778-4a56a41cf0f6,2022-01-12T10:06:39+00:00,"22, Female, 52",52,0,female,,5,"Il est équilibré","Il n'est pas équilibré","Il est presque équilibré","Il n'est pas équilibré","Il est équilibré ","Il est équilibré","Il est équilibré","Il est équilibré","Il est équilibré",
66819f1e-0933-4e2d-9010-d1bf5fb2c21e,cd0a0a46-7676-4bf0-ad03-2e83bd565fee,2022-01-12T10:02:19+00:00,"23, Female, 22",22,0,female,,5,"Il n'est pas équilibré","Il est presque équilibré","Il est presque équilibré","Il est presque équilibré","Il est équilibré ","Il n'est pas équilibré","Il est presque équilibré","Il est équilibré","Il est équilibré",
66819f1e-0933-4e2d-9010-d1bf5fb2c21e,bf743fbf-9be2-49a1-bf7e-0b53276e6529,2022-01-11T17:48:58+00:00,"21, Male, 27",27,1,male,,5,"Il est presque équilibré","Il est équilibré","Il est équilibré","Il est équilibré","Il est équilibré ","Il est équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré",
