id;num_stimulus;var_x;var_y;;
1;156;0;0;;
1;238;0;0;;
1;327;0;0;;
1;352;0;0;;
1;421;0;0;;
1;489;0;0;;
1;672;0;0;;
1;756;0;0;;
1;980;0;0;;
2;156;0;-15;;
2;238;3;-22;;
2;327;0;-14;;
2;352;0;-25;;
2;421;0;-27;;
2;489;0;-27;;
2;672;0;-20;;
2;756;4;-19;;
2;980;2;-17;;
3;156;0;-29;;
3;238;4;-31;;
3;327;2;-29;;
3;352;13;-34;;
3;421;17;-18;;
3;489;11;-13;;
3;672;0;-22;;
3;756;0;-22;;
3;980;0;-26;;
4;156;0;0;;
4;238;0;0;;
4;327;0;0;;
4;352;0;0;;
4;421;11;4;;
4;489;0;0;;
4;672;0;0;;
4;756;0;0;;
4;980;0;0;;
5;156;0;0;;
5;238;0;0;;
5;327;-2;-22;;
5;352;0;-19;;
5;421;1;-20;;
5;489;-2;-8;;
5;672;-9;-11;;
5;756;-3;-13;;
5;980;-8;-12;;
6;156;0;0;;
6;238;0;0;;
6;327;0;0;;
6;352;0;14;;
6;421;0;0;;
6;489;0;0;;
6;672;-6;5;;
6;756;-6;15;;
6;980;0;0;;
7;156;-10;19;;
7;238;0;0;;
7;327;0;0;;
7;352;0;0;;
7;421;0;0;;
7;489;0;0;;
7;672;-6;10;;
7;756;0;0;;
7;980;0;0;;
8;156;-9;-20;;
8;238;0;-17;;
8;327;0;0;;
8;352;0;0;;
8;421;-10;-25;;
8;489;0;-10;;
8;672;-5;-13;;
8;756;-1;-19;;
8;980;-14;-16;;
9;156;0;0;;
9;238;0;0;;
9;327;0;0;;
9;352;0;0;;
9;421;0;0;;
9;489;0;0;;
9;672;0;0;;
9;756;0;0;;
9;980;0;0;;
10;156;16;-27;;
10;238;19;-43;;
10;327;15;-41;;
10;352;27;-40;;
10;421;19;-33;;
10;489;23;-46;;
10;672;19;-36;;
10;756;21;-39;;
10;980;11;-51;;
11;156;0;-13;;
11;238;0;0;;
11;327;0;-16;;
11;352;0;0;;
11;421;0;0;;
11;489;0;0;;
11;672;0;0;;
11;756;0;0;;
11;980;0;0;;
12;156;0;0;;
12;238;0;0;;
12;327;10;-11;;
12;352;0;0;;
12;421;0;0;;
12;489;0;0;;
12;672;0;0;;
12;756;0;0;;
12;980;0;0;;
13;156;0;-19;;
13;238;0;0;;
13;327;2;-47;;
13;352;0;0;;
13;421;1;-48;;
13;489;11;-16;;
13;672;1;-20;;
13;756;8;-28;;
13;980;7;-16;;
14;156;0;0;;
14;238;0;0;;
14;327;0;0;;
14;352;0;0;;
14;421;0;0;;
14;489;0;0;;
14;672;0;0;;
14;756;0;0;;
14;980;0;0;;
15;156;0;-14;;
15;238;12;-19;;
15;327;0;0;;
15;352;0;0;;
15;421;0;0;;
15;489;0;-9;;
15;672;19;-17;;
15;756;0;0;;
15;980;25;-25;;
16;156;-10;-8;;
16;238;0;0;;
16;327;0;0;;
16;352;-7;-5;;
16;421;0;0;;
16;489;-19;-8;;
16;672;-8;2;;
16;756;-8;0;;
16;980;0;0;;
17;156;0;0;;
17;238;0;0;;
17;327;0;0;;
17;352;0;0;;
17;421;0;0;;
17;489;4;8;;
17;672;0;0;;
17;756;0;0;;
17;980;-9;7;;
18;156;0;0;;
18;238;0;0;;
18;327;0;0;;
18;352;0;0;;
18;421;0;0;;
18;489;0;0;;
18;672;0;0;;
18;756;0;0;;
18;980;0;0;;
19;156;15;-7;;
19;238;0;10;;
19;327;0;0;;
19;352;1;12;;
19;421;0;11;;
19;489;0;0;;
19;672;-2;12;;
19;756;7;-14;;
19;980;-1;21;;
20;156;0;0;;
20;238;0;0;;
20;327;0;0;;
20;352;0;0;;
20;421;0;0;;
20;489;0;0;;
20;672;0;0;;
20;756;0;0;;
20;980;0;0;;
21;156;-8;0;;
21;238;0;-9;;
21;327;0;0;;
21;352;0;0;;
21;421;0;0;;
21;489;8;-9;;
21;672;0;0;;
21;756;0;0;;
21;980;-6;-15;;
22;156;0;-21;;
22;238;-7;-18;;
22;327;0;-25;;
22;352;5;-24;;
22;421;-10;-9;;
22;489;0;-19;;
22;672;4;-19;;
22;756;-12;-17;;
22;980;0;-17;;
23;156;0;0;;
23;238;-2;-22;;
23;327;0;0;;
23;352;1;-18;;
23;421;0;0;;
23;489;0;-9;;
23;672;-11;-3;;
23;756;0;-23;;
23;980;0;0;;
24;156;-13;0;;
24;238;-8;-13;;
24;327;0;0;;
24;352;-7;-7;;
24;421;-11;-12;;
24;489;0;0;;
24;672;-2;-11;;
24;756;-15;0;;
24;980;0;0;;
25;156;-6;16;;
25;238;0;0;;
25;327;0;0;;
25;352;0;0;;
25;421;-13;11;;
25;489;0;0;;
25;672;0;0;;
25;756;0;0;;
25;980;12;-8;;
26;156;0;0;;
26;238;0;0;;
26;327;0;0;;
26;352;0;0;;
26;421;0;-17;;
26;489;0;-9;;
26;672;0;-11;;
26;756;0;0;;
26;980;0;0;;
27;156;0;-19;;
27;238;1;-9;;
27;327;0;-21;;
27;352;0;-20;;
27;421;0;-13;;
27;489;6;-12;;
27;672;6;-9;;
27;756;0;0;;
27;980;0;0;;
