"id","num_stimulus","legumes_fix","feculents_fix","proteines_fix","fruits_fix","legumes_tps","feculents_tps","proteines_tps","fruits_tps","classe"
48,156,10,23,9,0,3797,9597,5525,0,"Equilibre"
47,156,4,18,3,0,851,5722,1517,0,"PasEquilibre"
45,156,20,35,11,0,8416,14901,9605,0,"PresqueEquilibre"
46,156,12,22,9,0,3866,6696,2945,0,"Equilibre"
44,156,6,3,2,0,1855,1130,990,0,"PasEquilibre"
43,156,30,31,12,0,10310,15612,8833,0,"PasEquilibre"
42,156,5,18,7,0,2214,5838,2936,0,"PasEquilibre"
41,156,28,32,7,0,10016,8896,1848,0,"PresqueEquilibre"
39,156,26,35,13,0,5842,12744,8509,0,"PresqueEquilibre"
38,156,4,12,4,0,3536,6764,1798,0,"PresqueEquilibre"
35,156,23,37,11,0,9269,17199,6098,0,"Equilibre"
29,156,7,14,4,0,3058,3397,1519,0,"PresqueEquilibre"
28,156,7,12,5,0,3155,3637,1666,0,"PresqueEquilibre"
27,156,5,12,4,0,1862,3870,2162,0,"PresqueEquilibre"
26,156,21,37,11,0,5287,14075,3737,0,"PresqueEquilibre"
25,156,18,24,6,0,5770,5836,2116,0,"Equilibre"
24,156,5,16,4,0,1659,7646,2832,0,"Equilibre"
22,156,4,6,3,0,2787,3163,1996,0,"Equilibre"
23,156,6,7,3,0,1901,2533,1234,0,"PasEquilibre"
21,156,5,9,3,0,1504,4407,2570,0,"PresqueEquilibre"
20,156,8,9,2,0,2144,2934,1625,0,"PasEquilibre"
18,156,28,31,8,0,14289,13567,5157,0,"PresqueEquilibre"
19,156,18,33,14,0,5621,10527,4349,0,"PresqueEquilibre"
17,156,4,5,1,0,562,923,349,0,"PasEquilibre"
15,156,7,12,5,0,2576,4752,2315,0,"PresqueEquilibre"
16,156,7,12,5,0,3622,8002,4279,0,"PresqueEquilibre"
13,156,28,51,15,0,6317,17150,6713,0,"PresqueEquilibre"
14,156,8,13,7,0,2534,3510,2075,0,"Equilibre"
11,156,7,14,5,0,3429,4376,2574,0,"PresqueEquilibre"
10,156,12,23,9,0,5078,10042,3833,0,"PresqueEquilibre"
9,156,6,29,2,0,1734,6913,995,0,"PasEquilibre"
7,156,15,26,11,0,5636,9147,4751,0,"PresqueEquilibre"
5,156,9,11,4,0,3253,3279,1976,0,"Equilibre"
6,156,18,19,7,0,6141,6377,3849,0,"PasEquilibre"
4,156,12,24,8,0,3439,7418,3302,0,"Equilibre"
3,156,13,22,10,0,9621,13279,8761,0,"PresqueEquilibre"
2,156,3,5,2,0,768,1511,1070,0,"PasEquilibre"
37,156,4,9,2,0,2020,2533,1076,0,"PasEquilibre"
36,156,3,7,3,0,575,2796,1648,0,"PasEquilibre"
33,156,7,21,6,0,2747,6882,3078,0,"PasEquilibre"
32,156,4,4,2,0,3608,1587,1236,0,"PresqueEquilibre"
31,156,14,10,4,0,4424,5001,3884,0,"PasEquilibre"
30,156,2,7,3,0,1248,2343,535,0,"PasEquilibre"
48,672,28,28,0,13,10350,8699,0,3283,"PresqueEquilibre"
47,672,5,5,0,3,2413,3102,0,2856,"PresqueEquilibre"
45,672,55,33,0,15,13440,12620,0,6166,"PresqueEquilibre"
46,672,20,14,0,8,5819,4308,0,3055,"PresqueEquilibre"
44,672,9,7,0,5,2999,2492,0,1939,"Equilibre"
43,672,32,18,0,8,10521,8743,0,3648,"Equilibre"
42,672,6,4,0,2,2054,2183,0,1602,"PasEquilibre"
41,672,41,22,0,17,18262,9112,0,8244,"PresqueEquilibre"
39,672,25,18,0,7,5502,7366,0,2150,"PresqueEquilibre"
38,672,19,10,0,6,10819,5600,0,4029,"PresqueEquilibre"
35,672,40,18,0,13,15897,7666,0,5168,"PresqueEquilibre"
29,672,6,4,0,4,1916,3297,0,3297,"PasEquilibre"
28,672,14,8,0,5,6617,3267,0,2468,"PresqueEquilibre"
27,672,19,15,0,7,5403,5937,0,3667,"Equilibre"
26,672,46,23,0,12,12998,8548,0,4234,"PasEquilibre"
25,672,23,11,0,8,5638,2915,0,2488,"PasEquilibre"
24,672,12,11,0,6,6859,5251,0,3653,"PresqueEquilibre"
22,672,20,16,0,9,8709,7351,0,4700,"PasEquilibre"
23,672,27,10,0,5,14156,4729,0,2879,"PresqueEquilibre"
21,672,9,8,0,3,2691,3687,0,2650,"Equilibre"
20,672,20,15,0,5,4576,5120,0,3027,"PasEquilibre"
18,672,29,12,0,6,8242,3557,0,1706,"PasEquilibre"
19,672,20,19,0,19,10292,5515,0,5515,"PresqueEquilibre"
17,672,6,5,0,5,2598,2679,0,2679,"Equilibre"
15,672,19,15,0,11,7313,4152,0,3305,"PresqueEquilibre"
16,672,3,3,0,1,1640,4055,0,1013,"Equilibre"
14,672,14,8,0,4,4344,2177,0,1086,"PresqueEquilibre"
11,672,30,18,0,10,13941,8219,0,6156,"PasEquilibre"
10,672,24,20,0,9,14949,7151,0,2228,"PresqueEquilibre"
9,672,19,11,0,5,6058,3022,0,2072,"PresqueEquilibre"
8,672,24,20,0,6,9486,8976,0,4476,"PresqueEquilibre"
7,672,29,24,0,15,10357,10842,0,6966,"PresqueEquilibre"
5,672,28,19,0,9,9383,6669,0,3269,"Equilibre"
6,672,33,21,0,13,14339,7205,0,5315,"PresqueEquilibre"
4,672,21,17,0,9,6435,6388,0,3370,"PasEquilibre"
3,672,28,15,0,7,7704,9485,0,5006,"PresqueEquilibre"
2,672,13,10,0,5,6235,6718,0,5097,"PresqueEquilibre"
37,672,15,12,0,9,4689,6656,0,5508,"Equilibre"
36,672,10,5,0,3,1838,2252,0,1481,"Equilibre"
34,672,29,16,0,8,7668,4701,0,2747,"PresqueEquilibre"
33,672,21,13,0,7,6154,8790,0,3967,"PasEquilibre"
32,672,8,3,0,1,3122,673,0,499,"Equilibre"
31,672,10,7,0,4,4545,2489,0,2088,"PasEquilibre"
30,672,11,8,0,3,2861,3271,0,1796,"PresqueEquilibre"
48,756,6,10,7,1,3195,5594,4311,314,"Equilibre"
45,756,11,11,5,3,2418,2832,1786,805,"Equilibre"
46,756,5,6,5,1,1940,2539,2272,331,"Equilibre"
44,756,6,6,3,3,1521,2172,1317,961,"Equilibre"
43,756,9,33,19,3,2211,16364,9578,2319,"PresqueEquilibre"
42,756,13,14,10,2,5382,7264,5805,429,"Equilibre"
41,756,10,9,6,1,3887,5617,4642,84,"Equilibre"
39,756,15,41,18,6,6874,14988,8161,1518,"Equilibre"
38,756,10,17,12,1,6400,8474,4856,225,"Equilibre"
35,756,22,30,15,7,10938,13282,7969,2160,"Equilibre"
29,756,3,5,2,2,1007,2088,1272,466,"Equilibre"
28,756,4,6,4,3,1344,3844,3387,1263,"Equilibre"
27,756,6,9,6,3,3046,3981,2927,864,"Equilibre"
26,756,9,12,8,1,2010,7325,5177,199,"Equilibre"
25,756,13,13,8,3,6247,6832,6072,733,"Equilibre"
24,756,4,8,4,1,1046,5190,3836,1182,"Equilibre"
