"id","classe","num_stimulus"
48,"Equilibre",156
48,"PresqueEquilibre",672
48,"Equilibre",756
48,"PasEquilibre",421
48,"PresqueEquilibre",489
48,"PasEquilibre",327
48,"PasEquilibre",238
48,"PasEquilibre",352
48,"Equilibre",980
47,"PasEquilibre",156
47,"PresqueEquilibre",672
47,"Equilibre",756
47,"Equilibre",421
47,"PresqueEquilibre",489
47,"PasEquilibre",327
47,"Equilibre",238
47,"PresqueEquilibre",352
45,"PresqueEquilibre",156
45,"PresqueEquilibre",672
45,"Equilibre",756
45,"PresqueEquilibre",421
45,"Equilibre",489
45,"PresqueEquilibre",327
45,"Equilibre",238
45,"Equilibre",352
45,"Equilibre",980
46,"Equilibre",156
46,"PresqueEquilibre",672
46,"Equilibre",756
46,"PresqueEquilibre",421
46,"Equilibre",489
46,"PasEquilibre",327
46,"Equilibre",238
46,"Equilibre",352
46,"Equilibre",980
44,"PasEquilibre",156
44,"Equilibre",672
44,"Equilibre",756
44,"PasEquilibre",421
44,"Equilibre",489
44,"PasEquilibre",327
44,"PresqueEquilibre",238
44,"Equilibre",352
44,"PresqueEquilibre",980
43,"PasEquilibre",156
43,"Equilibre",672
43,"PresqueEquilibre",756
43,"PresqueEquilibre",421
43,"PresqueEquilibre",489
43,"PasEquilibre",327
43,"PresqueEquilibre",238
43,"PresqueEquilibre",352
43,"PresqueEquilibre",980
42,"PasEquilibre",156
42,"PasEquilibre",672
42,"Equilibre",756
42,"PresqueEquilibre",421
42,"Equilibre",489
42,"PresqueEquilibre",327
42,"Equilibre",238
42,"Equilibre",352
42,"Equilibre",980
41,"PresqueEquilibre",156
41,"PresqueEquilibre",672
41,"Equilibre",756
41,"Equilibre",421
41,"Equilibre",489
41,"PresqueEquilibre",327
41,"Equilibre",238
41,"PresqueEquilibre",352
41,"Equilibre",980
40,"Equilibre",156
40,"PresqueEquilibre",421
40,"Equilibre",489
40,"Equilibre",238
40,"PresqueEquilibre",352
39,"PresqueEquilibre",156
39,"PresqueEquilibre",672
39,"Equilibre",756
39,"Equilibre",421
39,"PresqueEquilibre",489
39,"PasEquilibre",327
39,"Equilibre",238
39,"PresqueEquilibre",352
39,"Equilibre",980
38,"PresqueEquilibre",156
38,"PresqueEquilibre",672
38,"Equilibre",756
38,"Equilibre",421
38,"Equilibre",489
38,"PresqueEquilibre",327
38,"Equilibre",238
38,"Equilibre",352
38,"PresqueEquilibre",980
35,"Equilibre",156
35,"PresqueEquilibre",672
35,"Equilibre",756
35,"PasEquilibre",421
35,"Equilibre",489
35,"PasEquilibre",327
35,"Equilibre",238
35,"PresqueEquilibre",352
35,"PasEquilibre",980
29,"PresqueEquilibre",156
29,"PasEquilibre",672
29,"Equilibre",756
29,"PresqueEquilibre",421
29,"Equilibre",489
29,"PresqueEquilibre",327
29,"Equilibre",238
29,"Equilibre",352
29,"Equilibre",980
28,"PresqueEquilibre",156
28,"PresqueEquilibre",672
28,"Equilibre",756
28,"PasEquilibre",421
28,"PresqueEquilibre",489
28,"PasEquilibre",327
28,"Equilibre",238
28,"Equilibre",352
28,"Equilibre",980
27,"PresqueEquilibre",156
27,"Equilibre",672
27,"Equilibre",756
27,"PresqueEquilibre",421
27,"Equilibre",489
27,"PasEquilibre",327
27,"Equilibre",238
27,"Equilibre",352
27,"Equilibre",980
26,"PresqueEquilibre",156
26,"PasEquilibre",672
26,"Equilibre",756
26,"PresqueEquilibre",421
26,"Equilibre",489
26,"PresqueEquilibre",327
26,"Equilibre",238
26,"PresqueEquilibre",352
26,"PresqueEquilibre",980
25,"Equilibre",156
25,"PasEquilibre",672
25,"Equilibre",756
25,"Equilibre",421
25,"PresqueEquilibre",489
25,"PresqueEquilibre",327
25,"Equilibre",238
25,"Equilibre",352
25,"Equilibre",980
24,"Equilibre",156
24,"PresqueEquilibre",672
24,"Equilibre",756
24,"Equilibre",421
24,"Equilibre",489
24,"PasEquilibre",327
24,"Equilibre",238
24,"Equilibre",352
22,"Equilibre",156
22,"PasEquilibre",672
22,"PresqueEquilibre",756
22,"PasEquilibre",421
22,"Equilibre",489
22,"Equilibre",327
22,"Equilibre",238
22,"Equilibre",352
22,"Equilibre",980
23,"PasEquilibre",156
23,"PresqueEquilibre",672
23,"PresqueEquilibre",756
23,"PresqueEquilibre",421
23,"Equilibre",489
23,"PasEquilibre",327
23,"PresqueEquilibre",238
23,"Equilibre",352
23,"Equilibre",980
21,"PresqueEquilibre",156
21,"Equilibre",672
21,"Equilibre",756
21,"Equilibre",421
21,"Equilibre",489
21,"Equilibre",327
21,"Equilibre",238
21,"PresqueEquilibre",352
21,"Equilibre",980
20,"PasEquilibre",156
20,"PasEquilibre",672
20,"PresqueEquilibre",756
20,"PresqueEquilibre",421
20,"Equilibre",489
20,"PasEquilibre",327
20,"PresqueEquilibre",238
20,"Equilibre",352
20,"Equilibre",980
18,"PresqueEquilibre",156
18,"PasEquilibre",672
18,"Equilibre",756
18,"PasEquilibre",421
18,"PresqueEquilibre",489
18,"PasEquilibre",327
18,"Equilibre",238
18,"PresqueEquilibre",352
18,"Equilibre",980
19,"PresqueEquilibre",156
19,"PresqueEquilibre",672
19,"Equilibre",756
19,"PresqueEquilibre",421
19,"Equilibre",489
19,"PresqueEquilibre",327
19,"Equilibre",238
19,"PresqueEquilibre",352
19,"Equilibre",980
17,"PasEquilibre",156
17,"Equilibre",672
17,"Equilibre",756
17,"PresqueEquilibre",421
17,"PresqueEquilibre",489
17,"PasEquilibre",327
17,"PresqueEquilibre",238
17,"Equilibre",352
17,"Equilibre",980
15,"PresqueEquilibre",156
15,"PresqueEquilibre",672
15,"Equilibre",756
15,"PresqueEquilibre",421
15,"Equilibre",489
15,"PasEquilibre",327
15,"Equilibre",238
15,"Equilibre",352
15,"Equilibre",980
16,"PresqueEquilibre",156
16,"Equilibre",672
16,"PresqueEquilibre",756
16,"Equilibre",421
16,"Equilibre",489
16,"PasEquilibre",327
16,"Equilibre",238
16,"PresqueEquilibre",352
16,"Equilibre",980
13,"PresqueEquilibre",156
13,"PresqueEquilibre",672
13,"PresqueEquilibre",756
13,"Equilibre",489
13,"Equilibre",327
13,"Equilibre",980
14,"Equilibre",156
14,"PresqueEquilibre",672
14,"PresqueEquilibre",756
14,"PresqueEquilibre",421
14,"PresqueEquilibre",489
14,"Equilibre",327
14,"Equilibre",238
14,"PresqueEquilibre",352
14,"PresqueEquilibre",980
11,"PresqueEquilibre",156
11,"PasEquilibre",672
11,"PresqueEquilibre",756
11,"Equilibre",421
11,"Equilibre",489
11,"PasEquilibre",327
11,"Equilibre",238
