"id","num_stimulus","legumes_fix","feculents_fix","proteines_fix","fruits_fix","legumes_tps","feculents_tps","proteines_tps","fruits_tps","classe","tester_id","item_id","pays","tot_fix","pct_feculents_fix","pct_proteines_fix","pct_legumes_fix","pct_fruits_fix","tot_tps","pct_feculents_tps","pct_proteines_tps","pct_legumes_tps","pct_fruits_tps"
38,156,0,3,0,0,0,525,0,0,"PresqueEquilibre","199d1269-1d8a-420a-a986-1f4f2ab4355f","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",3,100,0,0,0,525,100,0,0,0
39,156,1,1,1,0,184,277,277,0,"PresqueEquilibre","fd0537e8-3103-47f8-9998-44570bb8a45e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",3,33.3333333333333,33.3333333333333,33.3333333333333,0,738,37.5338753387534,37.5338753387534,24.9322493224932,0
40,156,4,0,0,0,728,0,0,0,"Equilibre","e433aa11-cdb7-4733-88a9-7067cf52299b","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",4,0,0,100,0,728,0,0,100,0
41,156,0,2,1,0,0,1087,174,0,"PresqueEquilibre","149c1889-4e83-4153-b763-54fb60e60d99","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",3,66.6666666666667,33.3333333333333,0,0,1261,86.2014274385408,13.7985725614592,0,0
42,156,0,2,1,0,0,381,334,0,"PasEquilibre","14229a71-f44e-4149-9f3c-aa7415691eae","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",3,66.6666666666667,33.3333333333333,0,0,715,53.2867132867133,46.7132867132867,0,0
43,156,1,4,2,0,132,966,96,0,"PasEquilibre","a724528f-7fe6-4ad6-bba1-21cb02db2af5","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",7,57.1428571428571,28.5714285714286,14.2857142857143,0,1194,80.9045226130653,8.04020100502512,11.0552763819095,0
44,156,2,0,0,0,165,0,0,0,"PasEquilibre","4f5ae77c-6112-401a-93d1-3bf44bd1ccbe","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,0,0,100,0,165,0,0,100,0
46,156,0,3,1,0,0,607,180,0,"Equilibre","4f147d0e-54ac-4b89-a269-aaa7819fb0ef","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",4,75,25,0,0,787,77.12833545108,22.8716645489199,0,0
45,156,4,1,0,0,478,282,0,0,"PresqueEquilibre","c464d108-c77f-41e7-bcbc-d5855c9a7968","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",5,20,0,80,0,760,37.1052631578947,0,62.8947368421053,0
47,156,0,1,1,0,0,343,343,0,"PasEquilibre","b20e7a20-ca68-410c-8214-fbb92bfdfe17","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,50,50,0,0,686,50,50,0,0
48,156,1,1,0,0,17,521,0,0,"Equilibre","131f7620-d15d-4560-86ab-564145745b9b","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,50,0,50,0,538,96.8401486988847,0,3.15985130111524,0
2,156,0,1,1,0,0,68,68,0,"PasEquilibre","131ecf76-b806-4557-b2c0-183a418357ba","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",2,50,50,0,0,136,50,50,0,0
3,156,1,4,2,0,270,798,503,0,"PresqueEquilibre","10e732f6-9a6a-474a-82e2-a4060fc8dffe","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",7,57.1428571428571,28.5714285714286,14.2857142857143,0,1571,50.7956715467855,32.017823042648,17.1865054105665,0
4,156,0,1,0,0,0,205,0,0,"Equilibre","646465ef-0ad6-44cc-bd31-de24e1487943","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",1,100,0,0,0,205,100,0,0,0
6,156,1,0,0,0,620,0,0,0,"PasEquilibre","aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",1,0,0,100,0,620,0,0,100,0
