"id","156","672","756","421","489","327","238","352","980"
48,"Equilibre","PresqueEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PasEquilibre","PasEquilibre","Equilibre"
47,"PasEquilibre","PresqueEquilibre","Equilibre","Equilibre","PresqueEquilibre","PasEquilibre","Equilibre","PresqueEquilibre", 
45,"PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre"
46,"Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","PasEquilibre","Equilibre","Equilibre","Equilibre"
44,"PasEquilibre","Equilibre","Equilibre","PasEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre"
43,"PasEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre"
42,"PasEquilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre"
41,"PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre"
40,"Equilibre", , ,"PresqueEquilibre","Equilibre", ,"Equilibre","PresqueEquilibre", 
39,"PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","PresqueEquilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre"
38,"PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","PresqueEquilibre"
35,"Equilibre","PresqueEquilibre","Equilibre","PasEquilibre","Equilibre","PasEquilibre","Equilibre","PresqueEquilibre","PasEquilibre"
29,"PresqueEquilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre"
28,"PresqueEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","Equilibre","Equilibre","Equilibre"
27,"PresqueEquilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","PasEquilibre","Equilibre","Equilibre","Equilibre"
26,"PresqueEquilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre"
25,"Equilibre","PasEquilibre","Equilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre"
24,"Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre","PasEquilibre","Equilibre","Equilibre", 
22,"Equilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre"
23,"PasEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","Equilibre","Equilibre"
21,"PresqueEquilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre"
20,"PasEquilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","Equilibre","Equilibre"
18,"PresqueEquilibre","PasEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre"
19,"PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre"
17,"PasEquilibre","Equilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","Equilibre","Equilibre"
15,"PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","PasEquilibre","Equilibre","Equilibre","Equilibre"
16,"PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre"
13,"PresqueEquilibre","PresqueEquilibre","PresqueEquilibre", ,"Equilibre","Equilibre", , ,"Equilibre"
14,"Equilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","Equilibre","PresqueEquilibre","PresqueEquilibre"
11,"PresqueEquilibre","PasEquilibre","PresqueEquilibre","Equilibre","Equilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre"
10,"PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre"
9,"PasEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre"
8,"PasEquilibre","PresqueEquilibre","Equilibre","Equilibre","PresqueEquilibre","PasEquilibre","Equilibre", ,"Equilibre"
7,"PresqueEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","Equilibre","Equilibre"
5,"Equilibre","Equilibre","Equilibre","Equilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre"
6,"PasEquilibre","PresqueEquilibre","Equilibre","PresqueEquilibre","Equilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre"
4,"Equilibre","PasEquilibre","Equilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PasEquilibre","Equilibre"
3,"PresqueEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","Equilibre","Equilibre"
2,"PasEquilibre","PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","PresqueEquilibre","Equilibre","Equilibre"
37,"PasEquilibre","Equilibre","Equilibre","Equilibre","Equilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre"
36,"PasEquilibre","Equilibre","Equilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","Equilibre", 
34, ,"PresqueEquilibre","PresqueEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","PasEquilibre","PasEquilibre","Equilibre"
33,"PasEquilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","PresqueEquilibre","PasEquilibre","Equilibre","PresqueEquilibre","PresqueEquilibre"
32,"PresqueEquilibre","Equilibre","Equilibre","Equilibre","Equilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre"
31,"PasEquilibre","PasEquilibre","Equilibre","PasEquilibre","Equilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre"
30,"PasEquilibre","PresqueEquilibre","Equilibre","PasEquilibre","Equilibre","PresqueEquilibre","Equilibre","Equilibre","Equilibre"
