"id_item","id_tester","first_zone","last_zone"
"34359006-f70f-438e-85d0-420cf2fe6944","199d1269-1d8a-420a-a986-1f4f2ab4355f","feculents","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","fd0537e8-3103-47f8-9998-44570bb8a45e","feculents/proteines","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","e433aa11-cdb7-4733-88a9-7067cf52299b","feculents","legumes"
"34359006-f70f-438e-85d0-420cf2fe6944","149c1889-4e83-4153-b763-54fb60e60d99","feculents","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","14229a71-f44e-4149-9f3c-aa7415691eae","feculents","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","a724528f-7fe6-4ad6-bba1-21cb02db2af5","feculents/proteines","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","4f5ae77c-6112-401a-93d1-3bf44bd1ccbe","legumes","legumes"
"34359006-f70f-438e-85d0-420cf2fe6944","4f147d0e-54ac-4b89-a269-aaa7819fb0ef","feculents","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","c464d108-c77f-41e7-bcbc-d5855c9a7968","feculents/proteines","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","b20e7a20-ca68-410c-8214-fbb92bfdfe17","feculents","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","131f7620-d15d-4560-86ab-564145745b9b","feculents","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","131ecf76-b806-4557-b2c0-183a418357ba","feculents","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","9560482a-f0a3-4f68-a311-03d22aedbd05","feculents/proteines","legumes"
"34359006-f70f-438e-85d0-420cf2fe6944","10e732f6-9a6a-474a-82e2-a4060fc8dffe","feculents","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","646465ef-0ad6-44cc-bd31-de24e1487943","feculents","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","legumes","legumes"
"34359006-f70f-438e-85d0-420cf2fe6944","9610f0dd-ff9f-4bd4-b311-459a04f965ca","feculents/proteines","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","df6523cd-3270-4298-8d6f-00aa8e9455e6","feculents/proteines","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","54c68134-2c2a-4f2e-974b-32310830af0e","feculents/proteines","legumes"
"34359006-f70f-438e-85d0-420cf2fe6944","055d198c-f8b0-47b7-9eb3-94fc57808f93","feculents/proteines","legumes"
"34359006-f70f-438e-85d0-420cf2fe6944","cea293cd-b0b1-40ea-8e71-756b3956e8ad","feculents","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","de86783a-ac86-419a-a230-dad6b421fba4","feculents","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","919c7921-7cef-4620-a2fe-766180ed2fbb","feculents/proteines","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","feculents/proteines","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","06026e76-f9a4-4fb9-877d-bcd33373cdab","legumes","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","27e050a3-45e8-4076-9c25-32be9040da4e","feculents","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","4995f6d3-50ed-427d-9cf2-4ea0b81a229c","feculents/proteines","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","398e712a-fae6-451d-83c9-a7e500227e62","feculents","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","65681129-f83c-4293-9ce3-9d1429367fd0","legumes","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","035a43cf-cf88-4675-85e7-11eeb0b3641c","feculents","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","feculents/proteines","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","bf743fbf-9be2-49a1-bf7e-0b53276e6529","feculents","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","cd0a0a46-7676-4bf0-ad03-2e83bd565fee","feculents","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","9577727a-fa45-4185-9778-4a56a41cf0f6","feculents","legumes"
"34359006-f70f-438e-85d0-420cf2fe6944","073891b7-a928-4ff0-83e3-56f4d1a6315e","feculents","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","cc933e0b-091f-4ef4-bfc8-11f2076d4396","feculents","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","4ed0a862-3163-449b-bb48-ca8b9ce3add0","legumes","legumes"
"34359006-f70f-438e-85d0-420cf2fe6944","473d2e90-02dd-483e-ad19-3966ec20050a","feculents/proteines","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","03964ff9-d24f-4a0a-a492-3a177e16eb11","feculents","feculents"
"34359006-f70f-438e-85d0-420cf2fe6944","e87291fb-8da5-4c7a-af30-4413737f2401","feculents","feculents/proteines"
"34359006-f70f-438e-85d0-420cf2fe6944","915ec45f-204b-411d-8ed7-7fdecb385e39","legumes","legumes"
"20f3c152-6ebf-49db-8e1a-00eebd99feb6","199d1269-1d8a-420a-a986-1f4f2ab4355f","legumes","legumes"
