"id_tester","id_item","pays","num_stimulus","rep_Z1","rep_Z2","rep_Z3","rep_Z4","rep_Z5","fix_tot","Temps_Z1","Temps_Z2","Temps_Z3","Temps_Z4","Temps_Z5","tps_tot"
"199d1269-1d8a-420a-a986-1f4f2ab4355f","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,7,1,1,4,16,2929,4762,199,661,1825,10376
"fd0537e8-3103-47f8-9998-44570bb8a45e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,14,15,6,11,13,59,2807,2933,1243,3339,8623,18945
"e433aa11-cdb7-4733-88a9-7067cf52299b","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,21,8,4,23,16,72,5169,1401,1043,8543,6961,23117
"149c1889-4e83-4153-b763-54fb60e60d99","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,22,19,4,5,6,56,8734,5803,1142,1617,1894,19190
"14229a71-f44e-4149-9f3c-aa7415691eae","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,8,2,3,7,22,546,1573,1280,1729,2647,7775
"a724528f-7fe6-4ad6-bba1-21cb02db2af5","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,19,14,2,11,12,58,4814,5896,712,5884,8989,26295
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,1,0,4,2,9,887,140,0,984,1010,3021
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,10,3,6,9,34,1522,3127,580,2494,2803,10526
"c464d108-c77f-41e7-bcbc-d5855c9a7968","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,13,12,11,7,11,54,6834,2847,2152,1826,9656,23315
"b20e7a20-ca68-410c-8214-fbb92bfdfe17","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,6,8,1,3,21,800,1908,2306,99,939,6052
"131f7620-d15d-4560-86ab-564145745b9b","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,5,10,4,5,9,33,2361,2400,1693,1573,5580,13607
"131ecf76-b806-4557-b2c0-183a418357ba","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,1,1,1,2,7,604,409,34,182,903,2132
"9560482a-f0a3-4f68-a311-03d22aedbd05","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,5,3,6,7,27,2721,1708,1005,1560,3246,10240
"10e732f6-9a6a-474a-82e2-a4060fc8dffe","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,7,9,3,6,10,35,3347,2672,1823,6404,8427,22673
"646465ef-0ad6-44cc-bd31-de24e1487943","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,8,6,5,8,33,1622,1303,2789,1978,3403,11095
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,12,8,3,6,6,35,2885,1626,840,2033,3854,11238
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,5,2,3,4,20,2228,672,623,1108,2010,6641
"df6523cd-3270-4298-8d6f-00aa8e9455e6","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,9,6,9,11,41,1544,2556,1852,4229,4856,15037
"54c68134-2c2a-4f2e-974b-32310830af0e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,8,8,4,8,8,36,3391,2197,601,2106,4864,13159
"055d198c-f8b0-47b7-9eb3-94fc57808f93","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,17,10,0,2,35,1694,3403,2456,0,1006,8559
"cea293cd-b0b1-40ea-8e71-756b3956e8ad","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,11,3,6,9,35,2734,5215,951,2457,3896,15253
"de86783a-ac86-419a-a230-dad6b421fba4","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,5,4,4,5,21,2001,942,712,1527,2564,7746
"919c7921-7cef-4620-a2fe-766180ed2fbb","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,5,7,5,4,6,27,1299,2176,1570,1198,1976,8219
"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,1,5,5,7,21,1203,78,1358,1426,2141,6206
"06026e76-f9a4-4fb9-877d-bcd33373cdab","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,15,25,10,13,15,78,3405,7933,2383,3216,6750,23687
"27e050a3-45e8-4076-9c25-32be9040da4e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,7,0,4,5,19,1678,3690,0,2061,4329,11758
"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,5,2,5,5,19,422,2180,266,2258,2367,7493
"398e712a-fae6-451d-83c9-a7e500227e62","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,3,1,2,1,9,432,497,74,176,0,1179
"65681129-f83c-4293-9ce3-9d1429367fd0","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,6,12,5,12,14,49,1975,3164,2958,3889,4514,16500
"035a43cf-cf88-4675-85e7-11eeb0b3641c","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,19,14,7,9,8,57,9675,6324,2017,4933,3972,26921
"aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,5,5,2,3,2,17,1210,536,781,998,1657,5182
"bf743fbf-9be2-49a1-bf7e-0b53276e6529","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,3,3,2,3,14,1200,595,1260,368,2387,5810
"cd0a0a46-7676-4bf0-ad03-2e83bd565fee","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,4,0,3,3,13,1149,1284,0,821,1265,4519
"9577727a-fa45-4185-9778-4a56a41cf0f6","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,2,2,1,2,3,10,419,821,331,1152,2008,4731
"073891b7-a928-4ff0-83e3-56f4d1a6315e","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,8,4,2,4,21,712,3650,1134,998,2852,9346
"cc933e0b-091f-4ef4-bfc8-11f2076d4396","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,7,13,5,11,6,42,1492,3314,433,4506,2172,11917
"4ed0a862-3163-449b-bb48-ca8b9ce3add0","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,15,21,5,6,11,58,3895,8406,1868,1126,3834,19129
"473d2e90-02dd-483e-ad19-3966ec20050a","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,4,3,2,4,16,1264,1106,615,634,2194,5813
"03964ff9-d24f-4a0a-a492-3a177e16eb11","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,3,5,2,4,5,19,1844,1599,360,1405,1732,6940
"e87291fb-8da5-4c7a-af30-4413737f2401","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,5,7,2,2,4,20,2011,1412,461,1158,679,5721
"915ec45f-204b-411d-8ed7-7fdecb385e39","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine",156,14,19,7,9,11,60,3670,7523,3481,5621,6160,26455
"199d1269-1d8a-420a-a986-1f4f2ab4355f","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,6,5,6,8,4,29,4101,2418,1791,5419,1584,15313
"fd0537e8-3103-47f8-9998-44570bb8a45e","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,7,3,9,10,11,40,2261,1606,2100,1858,5334,13159
"e433aa11-cdb7-4733-88a9-7067cf52299b","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,5,4,13,11,6,39,1191,659,5311,3041,2241,12443
"149c1889-4e83-4153-b763-54fb60e60d99","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,17,5,19,13,4,58,7933,2229,11980,4146,868,27156
"14229a71-f44e-4149-9f3c-aa7415691eae","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",672,2,1,2,2,2,9,1635,500,375,1163,609,4282
