Date;Num_Sujet;Stimulus;Pays;Classe;Classe_modif;Plateau_Classe;Classe(2);Plateau_Classe(2);Comm_brut;Comm_net;NoteEqu;NoteHedo;Zone + ;Zone - ;Nb_Repas;Petit_dej;Repas_imp;Grignotage;Cantine;Viande;Fruits;Légumes;5FruitsLégumes;Produits_Laitiers;Féculents;Sucreries;Sodas;Jus_Fruits;Plats_Préparés;Entrée;Dessert;PourcentageLipides;PourcentageGlucides;PourcentageProtéines;Repas_Equ;Plaisir_Cuisine;Temps_Sport;Sports_Pref;Continent;Langues_Etrangères;Restaurant;Age;Sexe
10-janv;1;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Pas assez de couleur Trop de féculents Assez de protéines Pas assez de légumes Pas assez de fruits mais ok;Pas_assez_coloré Trop_féculents Assez_protéines Pas_assez_légumes Assez_fruits;5;3;Chou;Crêpe;3;Toujours;Petit_dej;Environ une fois par semaine;Non, jamais;Jamais;Rarement;A tous les repas;Oui;Rarement;A tous les repas;Rarement;Rarement;Jamais;Oui, quelques fois par semaine;Non, jamais;Non, jamais;20;50;30;Un repas avec une majorité de légumes;Oui, même quand je cuisine seulement pour moi;3;Marche;Europe, Asie;2;Une pizza / Des pâtes, Des ramens;22;Féminin
10-janv;2;156;Ukraine;PasEquilibré;ZPasEquilibré;156_PasEquilibré;PasEquilibré;156_PasEquilibré;Pas assez de quantité Pas assez de diversité Assez de féculents Pas assez de légumes Pas assez de fruits Pas assez de protéines;Pas_assez_quantité Pas_assez_diversifié Assez_féculents Pas_assez_légumes Pas_assez_fruits Pas_assez_protéines;6;6;Haut;Bas;4;Toujours;Petit_dej;Environ une fois par jour;Non, jamais;Jamais;Environ une fois par jour;A tous les repas;Oui;Environ une fois par semaine;A tous les repas;Environ une fois par semaine;Environ une fois par semaine;Environ une fois par semaine;Oui, quelques fois par mois;Non, jamais;Oui, mais que à la maison;20;40;40;Un repas avec des protéines, des féculents et des légumes en quantité égale;Oui, même quand je cuisine seulement pour moi;7;Karaté Fitness;Europe, Amérique du Sud;3;Un burger, Des ramens;21;Masculin
10-janv;3;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Pas assez de fruits Trop sucré Produit transformé Assez de légumes Assez de protéines Assez de féculents;Pas_assez_fruits Trop_sucré Produits_transformés Assez_légumes Assez_protéines Assez_féculents;5;5;Droite;Crêpe (bas gauche);3;Toujours;Déjeuner;Rarement;Oui, tous les midis;Rarement;A tous les repas;A tous les repas;Oui;Environ une fois par jour;Environ une fois par jour;Plusieurs fois par semaine;Rarement;Rarement;Jamais;Non, jamais;Non, jamais;20;40;40;Un repas avec une majorité de légumes;Oui, mais seulement que je cuisine pour ma famille / mes amis;3;Pompom, fitness;Europe, Amérique du Nord, Amérique du Sud;2;Une pizza / Des pâtes, Une galette bretonne;20;Féminin
10-janv;4;156;Ukraine;Equilibré;Equilibré;156_Equilibré;Equilibré;156_Equilibré;Assez de légumes Assez de féculents Trop de protéines Pas assez de fruits mais ok Assez de légumes Pas assez de produit laitiers;Assez_légumes Assez_féculents Trop_protéines Assez_fruits Assez_légumes Pas_assez_produits_laitiers;6;8;Saucisse purée;crêpe;3;Week_end;Déjeuner;Rarement;Non, jamais;Environ une fois par jour;Environ une fois par jour;A tous les repas;Oui;Environ une fois par jour;Environ une fois par jour;A tous les repas;Jamais;Rarement;Oui, quelques fois par mois;Non, jamais;Oui, toujours;20;20;60;Un repas avec une majorité de légumes;Oui, même quand je cuisine seulement pour moi;2;Course et fitness;Europe;3;Des ramens, Une viande marinée aux épices indiennes (Masala, Tandoori, Biryani...);22;Féminin
10-janv;5;156;Ukraine;Equilibré;Equilibré;156_Equilibré;Equilibré;156_Equilibré;Assez de protéines Assez de féculents Pas assez de légumes Pas assez de fruits;Assez_protéines Assez_féculents Pas_assez_légumes Pas_assez_fruits;7;5;1;0;3;Week_end;Déjeuner;Environ une fois par semaine;Oui, tous les midis;Environ une fois par semaine;A tous les repas;A tous les repas;Oui;Environ une fois par semaine;Environ une fois par jour;Plusieurs fois par semaine;Environ une fois par semaine;Rarement;Oui, quelques fois par semaine;Non, jamais;Non, jamais;40;40;20;Un repas avec une majorité de légumes;Oui, mais seulement que je cuisine pour ma famille / mes amis;3;Basket, course;Europe, Asie, Amérique du Nord, Amérique du Sud;2;Des fajitas / Des tacos / Des burritos, Une galette bretonne;18;Féminin
10-janv;6;156;Ukraine;PasEquilibré;ZPasEquilibré;156_PasEquilibré;PasEquilibré;156_PasEquilibré;Trop gras Pas les bonnes protéines Pas assez de légumes Produits transformés Assez de fruits Assez féculents Assez de protéines;Trop_gras Mauvaises_protéines Pas_assez_légumes Produits_transformés Assez_fruits Assez_féculents Assez_protéines;4;3;Soupe;Saucisses;2;Week_end;Déjeuner;Jamais;Oui, tous les midis;Plusieurs fois par semaine;A tous les repas;A tous les repas;Oui;Plusieurs fois par semaine;A tous les repas;Environ une fois par jour;Jamais;Jamais;Oui, quelques fois par mois;Non, jamais;Oui, mais que à la cantine;25;50;25;Un repas avec une majorité de légumes;Oui, parfois, cela dépend de mon humeur;6;Danse/Course/Fitness;Europe;2;Un steak accompagné de frites, Une galette bretonne;20;Féminin
10-janv;7;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Pas assez de légumes cuits Trop gras Assez protéines Trop de féculents Pas assez de fruits Pas sucré;Pas_assez_légumes Trop_gras Assez_protéines Trop_féculents Pas_assez_fruits Pas_sucré;5;2;Droite;Gauche;2;Week_end;Déjeuner;Environ une fois par jour;Non, jamais;Plusieurs fois par semaine;Plusieurs fois par semaine;Environ une fois par jour;Non;Plusieurs fois par semaine;Environ une fois par jour;Plusieurs fois par semaine;Environ une fois par semaine;Rarement;Jamais;Non, jamais;Oui, mais que à la maison;30;30;40;Un repas qui fait plaisir à manger;Oui, même quand je cuisine seulement pour moi;3;Equitation, Aviron;Europe, Amérique du Nord;3;Un steak accompagné de frites, Une galette bretonne;22;Féminin
10-janv;8;156;Ukraine;PasEquilibré;ZPasEquilibré;156_PasEquilibré;PasEquilibré;156_PasEquilibré;Assez de protéines Assez de féculents Pas assez de légumes Pas assez de fruits Crêpe vide Pas assez de produit laitiers;Assez_protéines Assez_féculents Pas_assez_légumes Pas_assez_fruits Pas_assez_produits_laitiers;4;3;Saucisse Purée;Crêpe;3;Toujours;Petit_dej;Jamais;Oui, quelques fois par mois;Plusieurs fois par semaine;Plusieurs fois par semaine;A tous les repas;Non;A tous les repas;Environ une fois par jour;Plusieurs fois par semaine;Jamais;Rarement;Jamais;Oui, mais que à la maison;Oui, toujours;40;20;40;Un repas qui fait plaisir à manger;Oui, même quand je cuisine seulement pour moi;2;Course à pied et Natation;Europe, Amérique du Nord;3;Une pizza / Des pâtes, Un steak accompagné de frites;26;Féminin
11-janv;9;156;Ukraine;PasEquilibré;ZPasEquilibré;156_PasEquilibré;PasEquilibré;156_PasEquilibré;Assez de féculents Assez de légumes Pas assez de fruits Assez de protéines;Assez_féculents Assez_légumes Pas_assez_fruits Assez_protéines;3;3;Légumes;Protéines;4;Semaine;Déjeuner;Environ une fois par jour;Oui, tous les midis;A tous les repas;A tous les repas;Environ une fois par jour;Non;A tous les repas;A tous les repas;Environ une fois par jour;Rarement;Environ une fois par jour;Oui, quelques fois par mois;Oui, mais que à la cantine;Oui, toujours;26;37;37;Un repas qui fait plaisir à manger;Oui, même quand je cuisine seulement pour moi;0;Ski, Natation, Escalade;Europe, Afrique;4;Des sushis, Des ramens;24;Féminin
11-janv;10;156;Ukraine;PresqueEquilibré;PresqueEquilibré;156_PresqueEquilibré;Equilibré;156_Equilibré;Monochrome Trop de féculents Pas assez de légumes Compote broyée, perd en qualité nutritionnelle Trop de gras Assez de protéines Assez de fruits Pas assez de fibre Vitamines;Monochrome Trop_féculents Pas_assez_légumes Trop_gras Assez_protéines Assez_fruits Pas_assez_fibres Vitamines;4;4;Crepe choux;Purée saucisses;3;Semaine;Déjeuner;Jamais;Oui, tous les midis;Jamais;Environ une fois par jour;A tous les repas;Oui;Environ une fois par jour;A tous les repas;Environ une fois par jour;Jamais;Environ une fois par jour;Oui, quelques fois par mois;Oui, mais que à la cantine;Oui, toujours;20;50;30;Un repas avec une majorité de légumes;Oui, mais seulement que je cuisine pour ma famille / mes amis;4;Boxe et vélos;Europe, Afrique;2;Des sushis, Des ramens;20;Féminin
