,X,Y
0,690,414
1,715,361
2,663,384
3,698,398
4,662,365
5,609,404
6,605,387
7,623,366
8,617,389
9,671,467
10,478,381
11,352,161
12,331,193
13,286,177
14,242,162
15,307,174
16,264,261
17,312,303
18,325,336
19,319,325
20,304,347
21,297,277
22,297,277
23,344,304
24,666,429
25,720,353
26,662,379
27,696,424
28,750,341
29,764,202
30,809,285
31,777,302
32,887,271
33,849,287
34,872,214
35,829,291
36,843,305
37,849,311
38,837,337
39,807,425
40,965,329
41,1046,258
42,984,283
43,1013,431
44,1042,308
45,972,350
46,773,356
47,726,362
48,751,355
49,751,355
50,740,419
51,697,386
52,738,416
53,722,444
54,742,458
55,768,480
56,1035,326
57,1128,298
58,1099,344
59,1149,373
60,1149,373
61,1162,226
62,1058,289
63,1103,289
64,1078,290
65,995,324
66,1040,287
67,1089,277
68,1128,268
69,1047,328
70,889,255
71,274,189
72,228,144
73,173,22
74,80,108
75,130,61
76,103,74
77,136,80
78,160,93
79,102,72
80,131,126
81,102,179
82,82,151
83,82,151
84,152,139
85,152,139
86,151,84
87,147,150
88,112,109
89,102,106
90,77,66
91,62,69
92,76,111
93,117,127
94,120,81
95,160,109
96,146,153
97,88,162
98,88,162
99,84,198
100,62,145
101,74,194
102,32,174
103,-94,173
104,-16,179
105,510,261
106,735,506
107,735,375
108,691,401
109,745,390
110,745,390
111,721,385
112,745,504
113,772,478
114,707,494
115,750,456
116,735,386
117,734,426
118,668,406
119,688,358
120,718,386
121,697,390
122,688,374
123,730,429
124,755,413
125,867,448
