study_id,tester_id,tester_created_at,tester_name,tester_age,tester_gender,tester_display_gender,tester_tags,tester_quality_grade,"D'après toi, ce plateau est-il équilibré ? - 1. Brazil.jpg","D'après toi, ce plateau est-il équilibré ? - 4. Greece.jpg","D'après toi, ce plateau est-il équilibré ? - 3. France.jpg","D'après toi, ce plateau est-il équilibré ? - 5. Italy.jpg","D'après toi, ce plateau est-il équilibré ? - 2. Finland.jpg","D'après toi, ce plateau est-il équilibré ? - 6. Spain.jpg","D'après toi, ce plateau est-il équilibré ? - 7. South Korea.jpg","D'après toi, ce plateau est-il équilibré ? - 8. Ukraine.jpg","D'après toi, ce plateau est-il équilibré ? - 9. USA.jpg",notes
3e6ac1fe-b180-4c69-bcf3-cceb749bea26,4265ab8e-b041-41f5-986e-fd619942e5f7,2021-12-16T17:23:44+00:00,"23, Female, 18",18,0,female,,5,"Il est presque équilibré","Il est équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré","Il est équilibré","Il est équilibré","Il est presque équilibré","Il n'est pas équilibré","RealEye v8.13.10; 2022-01-05T15:56:05+00:00"
3e6ac1fe-b180-4c69-bcf3-cceb749bea26,505553a2-6611-48ca-8960-9675012652b7,2021-12-16T14:45:15+00:00,"11, Male, 19",19,1,male,,5,"Il est presque équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré","Il est presque équilibré","Il est presque équilibré","Il n'est pas équilibré",
3e6ac1fe-b180-4c69-bcf3-cceb749bea26,f852193a-540d-4fdf-b385-497af01b3659,2021-12-16T14:42:20+00:00,"Manon, Female, 18",18,0,female,,5,"Il n'est pas équilibré","Il est équilibré","Il n'est pas équilibré","Il est presque équilibré","Il est presque équilibré","Il est presque équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré",
3e6ac1fe-b180-4c69-bcf3-cceb749bea26,6a996a49-9116-4084-9875-996aa6497720,2021-12-16T14:10:10+00:00,"7, Female, 18",18,0,female,,5,"Il n'est pas équilibré","Il est équilibré","Il est presque équilibré","Il n'est pas équilibré","Il est presque équilibré","Il est presque équilibré","Il est équilibré","Il n'est pas équilibré","Il n'est pas équilibré",
3e6ac1fe-b180-4c69-bcf3-cceb749bea26,7156b24d-6cd3-4fd2-951d-a88d78463e39,2021-12-16T14:06:43+00:00,"6, Female, 18",18,0,female,,5,"Il est équilibré","Il est équilibré","Il est équilibré","Il est presque équilibré","Il n'est pas équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré","Il est presque équilibré",
3e6ac1fe-b180-4c69-bcf3-cceb749bea26,bf034d10-36cc-44c5-8bc0-e8c135368135,2021-12-16T13:42:06+00:00,"4, Male, 18",18,1,male,,5,"Il est équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré","Il est presque équilibré","Il n'est pas équilibré","Il est presque équilibré",
3e6ac1fe-b180-4c69-bcf3-cceb749bea26,5fe8039a-2097-47fc-8ae7-1a88deb80e8d,2021-12-16T13:38:33+00:00,"3, Male, 18",18,1,male,,5,"Il est équilibré","Il est presque équilibré","Il est équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré","Il est presque équilibré","Il est équilibré","Il n'est pas équilibré",
3e6ac1fe-b180-4c69-bcf3-cceb749bea26,b913ce53-220d-44cf-b259-95a65ae8196e,2021-12-16T13:10:09+00:00,"2, Male, 18",18,1,male,,5,"Il n'est pas équilibré","Il est équilibré","Il est équilibré","Il est presque équilibré","Il est presque équilibré","Il est équilibré","Il est équilibré","Il n'est pas équilibré","Il n'est pas équilibré",
3e6ac1fe-b180-4c69-bcf3-cceb749bea26,1a910569-41ff-45bc-9372-feddbe5166bc,2021-12-16T13:09:28+00:00,"01, Male, 18",18,1,male,,5,"Il est équilibré","Il est équilibré","Il n'est pas équilibré","Il est équilibré","Il est équilibré","Il est équilibré","Il est équilibré","Il est presque équilibré","Il est presque équilibré",
3e6ac1fe-b180-4c69-bcf3-cceb749bea26,59431c9b-e756-4ba9-8782-a8c29947d592,2021-12-16T09:45:18+00:00,"113, Female, 22",22,0,female,,5,"Il est plutôt équilibré","Il est équilibré","Il n'est pas équilibré","Il est équilibré","Il est plutôt équilibré","Il est équilibré","Il est équilibré","Il n'est pas équilibré","Il n'est pas équilibré",
